Plate	Plate.Date	Sort.Date	Production.Date	Internal.Index	External.Index	Sequencing.Dates	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID
20191217_ICR_e7.5_p6	12/1/2019	17/12/2019	12/22/2019	14	4A	191231|200113	20191217_ICR_e7.5_p6	191231|200113	20191217_ICR_e7.5_p6
20191217_ICR_e7.5_p7	12/1/2019	17/12/2019	12/22/2019	15	4A	191231|200113	20191217_ICR_e7.5_p7	191231|200113	20191217_ICR_e7.5_p7
20191217_ICR_e7.5_p8	12/1/2019	17/12/2019	12/22/2019	16	4A	191231|200113	20191217_ICR_e7.5_p8	191231|200113	20191217_ICR_e7.5_p8
20191217_ICR_e7.5_p9	12/1/2019	17/12/2019	12/23/2019	1	4B	191231|200113	20191217_ICR_e7.5_p9	191231|200113	20191217_ICR_e7.5_p9
EXE_6_E7.5_P1_e1_e2	9/1/2019	10/16/2020	1/19/2020	14	4D	200212|200719	EXE_6_E7.5_P1_e1_e2	200212|200719	EXE_6_E7.5_P1_e1_e2
EXE_6_E7.5_P2_e3_e4	9/1/2019	10/16/2020	1/19/2020	15	4D	200212|200719	EXE_6_E7.5_P2_e3_e4	200212|200719	EXE_6_E7.5_P2_e3_e4
EXE_6_E7.5_P3_e5_e6_e7	9/1/2019	10/16/2020	1/19/2020	16	4D	200212|200719	EXE_6_E7.5_P3_e5_e6_e7	200212|200719	EXE_6_E7.5_P3_e5_e6_e7
EXE_EXP10_E7.0_1	12/1/2019	12/16/2019	12/19/2019	8	4A	191231|200113	EXE_EXP10_E7.0_1	191231|200113	EXE_EXP10_E7.0_1
EXE_EXP10_E7.0_2	12/1/2019	12/16/2019	12/26/2019	9	4A	191231|200113	EXE_EXP10_E7.0_2	191231|200113	EXE_EXP10_E7.0_2
EXE_EXP10_E7.0_NOVA	01/12/19	16/12/2019	30/12/19	4	1F	201101	EXE_EXP10_E7.0_NOVA	201101	EXE_EXP10_E7.0_NOVA
EXE_EXP11_E7.5_1	12/1/2019	12/16/2019	12/26/2019	10	4A	191231|200113	EXE_EXP11_E7.5_1	191231|200113	EXE_EXP11_E7.5_1
EXE_EXP11_E7.5_2	12/1/2019	12/16/2019	12/26/2019	11	4A	191231|200113	EXE_EXP11_E7.5_2	191231|200113	EXE_EXP11_E7.5_2
EXE_EXP12_E7.5_1	12/16/2019	12/18/2019	12/26/2019	12	4B	191231|200113|200719	EXE_EXP12_E7.5_1	191231|200113|200719	EXE_EXP12_E7.5_1
EXE_EXP12_E7.5_2	12/16/2019	12/18/2019	12/26/2019	13	4B	191231|200113|200719	EXE_EXP12_E7.5_2	191231|200113|200719	EXE_EXP12_E7.5_2
EXE_EXP12_E7.5_3	12/16/2019	12/18/2019	12/26/2019	14	4B	191231|200113|200719	EXE_EXP12_E7.5_3	191231|200113|200719	EXE_EXP12_E7.5_3
EXE_EXP12_E7.5_4	12/16/2019	12/18/2019	12/26/2019	15	4B	191231|200113|200719	EXE_EXP12_E7.5_4	191231|200113|200719	EXE_EXP12_E7.5_4
EXE_EXP13_E7.5_P1_E1_E2_E3_NOVA	16/12/19	27/12/19	30/12/19	5	1G	201101	EXE_EXP13_E7.5_P1_E1_E2_E3_NOVA	201101	EXE_EXP13_E7.5_P1_E1_E2_E3_NOVA
EXE_EXP13_E7.5_P1_E4_e5	16/12/19	27/12/19	30/12/19	6	1H	201101	EXE_EXP13_E7.5_P1_E4_e5	201101	EXE_EXP13_E7.5_P1_E4_e5
EXE_EXP13_E7.5_P1_E6_NOVA	16/12/19	27/12/19	30/12/19	7	2A	201101	EXE_EXP13_E7.5_P1_E6_NOVA	201101	EXE_EXP13_E7.5_P1_E6_NOVA
EXE_exp14_spatial_p1_E6.5_e1_e2_e3_NOVA	16/12/19	02/01/20	07/01/20	15	2C	201101	EXE_exp14_spatial_p1_E6.5_e1_e2_e3_NOVA	201101	EXE_exp14_spatial_p1_E6.5_e1_e2_e3_NOVA
EXE_exp14_spatial_p2_E6.5_e5_e6_NOVA	16/12/19	02/01/20	07/01/20	16	2D	201101	EXE_exp14_spatial_p2_E6.5_e5_e6_NOVA	201101	EXE_exp14_spatial_p2_E6.5_e5_e6_NOVA
EXE_exp15_spatial_p1_E6.5_e1_e2_e3_m1e2	12/16/2019	1/13/2020	1/19/2020	13	4D	200212|200719	EXE_exp15_spatial_p1_E6.5_e1_e2_e3_m1e2	200212|200719	EXE_exp15_spatial_p1_E6.5_e1_e2_e3_m1e2
EXE_EXP8_E6.5_NOVA	01/12/19	11/12/2019	19/12/19	4	1E	201101	EXE_EXP8_E6.5_NOVA	201101	EXE_EXP8_E6.5_NOVA
EXE_EXP8_E6.5_NOVA_701	24/11/19	11/12/2019	19/12/19	3	1D	201101	EXE_EXP8_E6.5_NOVA_701	201101	EXE_EXP8_E6.5_NOVA_701
EXE1_e1-3_E6.25_1	8/7/2019	8/18/2019	10/27/2019	1	4C	191110|191121	EXE1_e1-3_E6.25_1	191110|191121	EXE1_e1-3_E6.25_1
EXE17_E5.5_P1	12/24/2019	1/22/2020	2/10/2020	9	4E	200301	EXE17_E5.5_P1	200301	EXE17_E5.5_P1
EXE18_P1	12/24/2019	1/30/2020	2/10/2020	10	4E	200301	EXE18_P1	200301	EXE18_P1
EXE18_P10	12/24/2019	1/30/2020	2/9/2020	6	4B	200301	EXE18_P10	200301	EXE18_P10
EXE18_P11_NOVA	24/12/19	30/1/20	09/02/20	7	3D	201101	EXE18_P11_NOVA	201101	EXE18_P11_NOVA
EXE18_P12	12/24/2019	1/30/2020	2/9/2020	8	4B	200301	EXE18_P12	200301	EXE18_P12
EXE18_P2_NOVA	24/12/19	30/1/20	10/02/20	11	3E	201101	EXE18_P2_NOVA	201101	EXE18_P2_NOVA
EXE18_P3	12/24/2019	1/30/2020	2/9/2020	4	4A	200301	EXE18_P3	200301	EXE18_P3
EXE18_P4	12/24/2019	1/30/2020	2/10/2020	12	4E	200301	EXE18_P4	200301	EXE18_P4
